last_name,suffixes,first_name,middle_name,party,chamber,district,email,url,photo_url,leg_id,updated_at
Hoskins,,Denny,,Republican,lower,54,Denny.Hoskins@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=119,http://www.house.mo.gov/MemberPhoto.aspx?id=371,MOL000094,2016-02-25 07:33:12
Dohrman,,Dean,,Republican,lower,51,Dean.Dohrman@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=98,http://www.house.mo.gov/MemberPhoto.aspx?id=665,MOL000238,2016-02-25 07:33:23
Remole,,Tim,,Republican,lower,6,Tim.Remole@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=160,http://www.house.mo.gov/MemberPhoto.aspx?id=643,MOL000332,2016-02-25 07:33:23
McGaugh,,Joe Don,,Republican,lower,39,JoeDon.McGaugh@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=28,http://www.house.mo.gov/MemberPhoto.aspx?id=658,MOL000302,2016-02-25 07:33:23
LaFaver,,Jeremy,,Democratic,lower,25,Jeremy.LaFaver@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=82,http://www.house.mo.gov/MemberPhoto.aspx?id=652,MOL000289,2016-02-25 07:33:22
Dunn,,Randy,,Democratic,lower,23,Randy.Dunn@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=141,http://www.house.mo.gov/MemberPhoto.aspx?id=692,MOL000240,2016-02-25 07:33:21
Neely,,Jim,,Republican,lower,8,Jim.Neely@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=48,http://www.house.mo.gov/MemberPhoto.aspx?id=645,MOL000316,2016-02-25 07:33:23
McCaherty,,John,,Republican,lower,97,John.McCaherty@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=84,http://www.house.mo.gov/MemberPhoto.aspx?id=463,MOL000126,2016-02-25 07:33:23
Spencer,,Bryan,,Republican,lower,63,,http://www.house.mo.gov/member.aspx?year=2016&district=106,http://www.house.mo.gov/MemberPhoto.aspx?id=671,MOL000353,2016-02-25 07:33:19
Rhoads,,Shawn,,Republican,lower,154,,http://www.house.mo.gov/member.aspx?year=2016&district=6,http://www.house.mo.gov/MemberPhoto.aspx?id=654,MOL000333,2016-02-25 07:33:21
Butler,,Michael,,Democratic,lower,79,Michael.Butler@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=93,http://www.house.mo.gov/MemberPhoto.aspx?id=60,MOL000224,2016-02-25 07:33:23
Morgan,,Judy,,Democratic,lower,24,Judy.Morgan@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=157,http://www.house.mo.gov/MemberPhoto.aspx?id=620,MOL000196,2016-02-25 07:33:22
Austin,,Kevin,,Republican,lower,136,Kevin.Austin@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=18,http://www.house.mo.gov/MemberPhoto.aspx?id=669,MOL000214,2016-02-25 07:33:20
Otto,,Bill,,Democratic,lower,70,Bill.Otto@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=132,http://www.house.mo.gov/MemberPhoto.aspx?id=675,MOL000321,2016-02-25 07:33:15
Meredith,,Sue,,Democratic,lower,71,Susan.Meredith@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=69,http://www.house.mo.gov/MemberPhoto.aspx?id=677,MOL000306,2016-02-25 07:33:23
Webber,,Stephen,,Democratic,lower,46,Stephen.Webber@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=75,http://www.house.mo.gov/MemberPhoto.aspx?id=389,MOL000186,2016-02-25 07:33:23
Anderson,,Sonya,,Republican,lower,131,Sonya.Anderson@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=21,http://www.house.mo.gov/MemberPhoto.aspx?id=691,MOL000213,2016-02-25 07:33:20
Redmon,,Craig,,Republican,lower,4,Craig.Redmon@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=143,http://www.house.mo.gov/MemberPhoto.aspx?id=452,MOL000150,2016-02-25 07:33:21
Justus,,Jeffery,,Republican,lower,156,Jeffery.Justus@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=50,http://www.house.mo.gov/MemberPhoto.aspx?id=651,MOL000281,2016-02-25 07:33:21
Gosen,,Don,,Republican,lower,101,Don.Gosen@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2015&district=77,http://www.house.mo.gov/MemberPhoto.aspx?id=456,MOL000084,2016-02-25 07:29:14
Curtis,,Courtney Allen,,Democratic,lower,73,Courtney.Curtis@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=35,http://www.house.mo.gov/MemberPhoto.aspx?id=679,MOL000234,2016-02-25 07:33:23
Messenger,,Jeffrey,,Republican,lower,130,Jeff.Messenger@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=71,http://www.house.mo.gov/MemberPhoto.aspx?id=678,MOL000307,2016-02-25 07:33:23
Hummel,,Jacob,,Democratic,lower,81,Jake.Hummel@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=151,http://www.house.mo.gov/MemberPhoto.aspx?id=372,MOL000099,2016-02-25 07:29:15
Shull,,Noel J,,Republican,lower,16,Noel.Shull@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=113,http://www.house.mo.gov/MemberPhoto.aspx?id=649,MOL000347,2016-02-25 07:33:23
Pace,,Sharon,,Democratic,lower,74,Sharon.Pace@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=70,http://www.house.mo.gov/MemberPhoto.aspx?id=383,MOL000144,2016-02-25 07:33:21
English,,Keith,,Independent,lower,68,Keith.English@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=116,http://www.house.mo.gov/MemberPhoto.aspx?id=674,MOL000245,2016-02-25 07:33:23
Moon,,Mike,,Republican,lower,157,Mike.Moon@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=92,http://www.house.mo.gov/MemberPhoto.aspx?id=727,MOL000373,2016-02-25 07:33:23
Pogue,,Jeff,,Republican,lower,143,Jeff.Pogue@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=89,http://www.house.mo.gov/MemberPhoto.aspx?id=663,MOL000328,2016-02-25 07:33:23
Love,,Warren,,Republican,lower,125,Warren.Love@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=146,http://www.house.mo.gov/MemberPhoto.aspx?id=682,MOL000294,2016-02-25 07:33:22
Plocher,,Dean,,Republican,lower,89,Dean.Plocher@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=126,http://www.house.mo.gov/MemberPhoto.aspx?id=1873,MOL000422,2016-02-25 07:33:23
Rowland,,Rory,,Democratic,lower,29,Rory.Rowland@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=155,http://www.house.mo.gov/MemberPhoto.aspx?id=1871,MOL000423,2016-02-25 07:33:21
Dogan,,Shamed,,Republican,lower,98,Shamed.Dogan@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=162,http://www.house.mo.gov/MemberPhoto.aspx?id=1783,MOL000391,2016-02-25 07:33:19
Andrews,,Allen,,Republican,lower,1,Allen.Andrews@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=131,http://www.house.mo.gov/MemberPhoto.aspx?id=1811,MOL000400,2016-02-25 07:33:18
Pike,,Patricia,,Republican,lower,126,Patricia.Pike@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=41,http://www.house.mo.gov/MemberPhoto.aspx?id=1788,MOL000381,2016-02-25 07:33:20
Kidd,,Bill,,Republican,lower,20,Bill.Kidd@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=45,http://www.house.mo.gov/MemberPhoto.aspx?id=1796,MOL000411,2016-02-25 07:33:21
McDaniel,,Andrew,,Republican,lower,150,Andrew.McDaniel@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=88,http://www.house.mo.gov/MemberPhoto.aspx?id=1787,MOL000389,2016-02-25 07:33:20
Chipman,,Jason,,Republican,lower,120,Jason.Chipman@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=15,http://www.house.mo.gov/MemberPhoto.aspx?id=1782,MOL000409,2016-02-25 07:33:14
Basye,,Chuck,,Republican,lower,47,,http://www.house.mo.gov/member.aspx?year=2016&district=60,http://www.house.mo.gov/MemberPhoto.aspx?id=1781,MOL000386,2016-02-25 07:33:21
Bondon,,Jack,,Republican,lower,56,Jack.Bondon@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=117,http://www.house.mo.gov/MemberPhoto.aspx?id=1808,MOL000401,2016-02-25 07:33:22
Fitzwater,,Travis,,Republican,lower,49,Travis.Fitzwater@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=144,http://www.house.mo.gov/MemberPhoto.aspx?id=1804,MOL000387,2016-02-25 07:33:23
Wiemann,,John,,Republican,lower,103,John.Wiemann@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=161,http://www.house.mo.gov/MemberPhoto.aspx?id=1803,MOL000393,2016-02-25 07:33:23
Roden,,Shane,,Republican,lower,111,Shane.Roden@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=19,http://www.house.mo.gov/MemberPhoto.aspx?id=1789,MOL000382,2016-02-25 07:33:20
Hill,,Justin,,Republican,lower,108,Justin.Hill@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=11,http://www.house.mo.gov/MemberPhoto.aspx?id=1784,MOL000408,2016-02-25 07:33:23
Beard,,Nathan,,Republican,lower,52,Nathan.Beard@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=47,http://www.house.mo.gov/MemberPhoto.aspx?id=1807,MOL000385,2016-02-25 07:33:23
Eggleston,,J.,,Republican,lower,2,J.Eggleston@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=23,http://www.house.mo.gov/MemberPhoto.aspx?id=1795,MOL000407,2016-02-25 07:33:23
King,,Nick,,Republican,lower,17,Nick.King@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=20,http://www.house.mo.gov/MemberPhoto.aspx?id=1785,MOL000388,2016-02-25 07:33:23
Mathews,,Kirk,,Republican,lower,110,Kirk.Mathews@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=13,http://www.house.mo.gov/MemberPhoto.aspx?id=1801,MOL000383,2016-02-25 07:33:22
Corlew,,Kevin,,Republican,lower,14,,http://www.house.mo.gov/member.aspx?year=2016&district=153,http://www.house.mo.gov/MemberPhoto.aspx?id=1805,MOL000395,2016-02-25 07:33:22
Carpenter,,Jon,,Democratic,lower,15,Jon.Carpenter@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=79,http://www.house.mo.gov/MemberPhoto.aspx?id=647,MOL000225,2016-02-25 07:33:22
Ruth,,Becky,,Republican,lower,114,Becky.Ruth@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=37,http://www.house.mo.gov/MemberPhoto.aspx?id=1791,MOL000406,2016-02-25 07:33:23
Wood,,David,,Republican,lower,58,David.Wood@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=12,http://www.house.mo.gov/MemberPhoto.aspx?id=668,MOL000366,2016-02-25 07:33:22
Pfautsch,,Donna,,Republican,lower,33,Donna.Pfautsch@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=76,http://www.house.mo.gov/MemberPhoto.aspx?id=655,MOL000324,2016-02-25 07:33:23
Pietzman,,Randy,,Republican,lower,41,Randy.Pietzman@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=66,http://www.house.mo.gov/MemberPhoto.aspx?id=1812,MOL000399,2016-02-25 07:33:23
Brown,,Cloria,,Republican,lower,94,Cloria.Brown@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=55,http://www.house.mo.gov/MemberPhoto.aspx?id=451,MOL000047,2016-02-25 07:33:23
Alferman,,Justin,,Republican,lower,61,Justin.Alferman@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=86,http://www.house.mo.gov/MemberPhoto.aspx?id=1799,MOL000402,2016-02-25 07:33:23
Cornejo,,Robert,,Republican,lower,64,Robert.Cornejo@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=14,http://www.house.mo.gov/MemberPhoto.aspx?id=672,MOL000230,2016-02-25 07:33:23
Hubrecht,,Tila,,Republican,lower,151,Tila.Hubrecht@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=78,http://www.house.mo.gov/MemberPhoto.aspx?id=1809,MOL000378,2016-02-25 07:33:23
Gannon,,Elaine,,Republican,lower,115,Elaine.Gannon@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=121,http://www.house.mo.gov/MemberPhoto.aspx?id=688,MOL000257,2016-02-25 07:33:23
Entlicher,,Sue,,Republican,lower,128,Sue.Entlicher@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=68,http://www.house.mo.gov/MemberPhoto.aspx?id=481,MOL000072,2016-02-25 07:33:22
Hurst,,Tom,,Republican,lower,62,Tom.Hurst@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=81,http://www.house.mo.gov/MemberPhoto.aspx?id=670,MOL000277,2016-02-25 07:33:19
Leara,,Mike,,Republican,lower,96,Mike.Leara@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=90,http://www.house.mo.gov/MemberPhoto.aspx?id=377,MOL000120,2016-02-25 07:33:21
Norr,,Charlie,,Democratic,lower,132,Charlie.Norr@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=72,http://www.house.mo.gov/MemberPhoto.aspx?id=77,MOL000320,2016-02-25 07:33:23
Houghton,,Jay,,Republican,lower,43,Jay.Houghton@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=135,http://www.house.mo.gov/MemberPhoto.aspx?id=461,MOL000096,2016-02-25 07:33:20
Marshall,,Nick,,Republican,lower,13,Nick.Marshall@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=122,http://www.house.mo.gov/MemberPhoto.aspx?id=493,MOL000124,2016-02-25 07:33:23
Kirkton,,Jeanne,,Democratic,lower,91,Jeanne.Kirkton@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=17,http://www.house.mo.gov/MemberPhoto.aspx?id=356,MOL000108,2016-02-25 07:33:21
Fraker,,Lyndall,,Republican,lower,137,Lyndall.Fraker@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=163,http://www.house.mo.gov/MemberPhoto.aspx?id=482,MOL000077,2016-02-25 07:33:23
Muntzel,,Dave,,Republican,lower,48,Dave.Muntzel@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=140,http://www.house.mo.gov/MemberPhoto.aspx?id=664,MOL000315,2016-02-25 07:33:23
Diehl,,John,,Republican,lower,89,John.Diehl@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2015&district=162,http://www.house.mo.gov/MemberPhoto.aspx?id=365,MOL000068,2016-02-25 07:29:15
Kolkmeyer,,Glen,,Republican,lower,53,Glen.Kolkmeyer@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=99,http://www.house.mo.gov/MemberPhoto.aspx?id=666,MOL000286,2016-02-25 07:33:22
Lair,,Mike,,Republican,lower,7,Mike.Lair@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=25,http://www.house.mo.gov/MemberPhoto.aspx?id=51,MOL000113,2016-02-25 07:33:22
Gardner,,Kimberly,,Democratic,lower,77,Kimberly.Gardner@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=115,http://www.house.mo.gov/MemberPhoto.aspx?id=680,MOL000258,2016-02-25 07:33:23
White,,Bill,,Republican,lower,161,Bill.White@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=46,http://www.house.mo.gov/MemberPhoto.aspx?id=447,MOL000189,2016-02-25 07:33:23
Solon,,Sheila,,Republican,lower,31,Sheila.Solon@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=85,http://www.house.mo.gov/MemberPhoto.aspx?id=495,MOL000172,2016-02-25 07:33:20
Mitten,,Gina,,Democratic,lower,83,Gina.Mitten@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=27,http://www.house.mo.gov/MemberPhoto.aspx?id=683,MOL000310,2016-02-25 07:33:23
Crawford,,Sandy,,Republican,lower,129,Sandy.Crawford@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=64,http://www.house.mo.gov/MemberPhoto.aspx?id=478,MOL000061,2016-02-25 07:33:21
Rowland,,Lyle,,Republican,lower,155,Lyle.Rowland@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=44,http://www.house.mo.gov/MemberPhoto.aspx?id=488,MOL000155,2016-02-25 07:33:22
Higdon,,Galen,,Republican,lower,11,Galen.Higdon@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=107,http://www.house.mo.gov/MemberPhoto.aspx?id=458,MOL000090,2016-02-25 07:33:23
Engler,,Kevin,,Republican,lower,116,Kevin.Engler@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=22,http://www.house.mo.gov/MemberPhoto.aspx?id=687,MOL000009,2016-02-25 07:33:23
Cierpiot,,Mike,,Republican,lower,30,Mike.Cierpiot@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=120,http://www.house.mo.gov/MemberPhoto.aspx?id=476,MOL000055,2016-02-25 07:33:21
Korman,,Bart,,Republican,lower,42,Bart.Korman@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=53,http://www.house.mo.gov/MemberPhoto.aspx?id=468,MOL000111,2016-02-25 07:33:22
Ross,,Robert,,Republican,lower,142,,http://www.house.mo.gov/member.aspx?year=2016&district=149,http://www.house.mo.gov/MemberPhoto.aspx?id=694,MOL000338,2016-02-25 07:33:22
Colona,,Mike,,Democratic,lower,80,Mike.Colona@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=30,http://www.house.mo.gov/MemberPhoto.aspx?id=363,MOL000056,2016-02-25 07:33:23
Davis,,Charlie,,Republican,lower,162,Charlie.Davis@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=109,http://www.house.mo.gov/MemberPhoto.aspx?id=449,MOL000064,2016-02-25 07:33:19
Smith,,Clem,,Democratic,lower,85,Clem.Smith@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=5,http://www.house.mo.gov/MemberPhoto.aspx?id=442,MOL000170,2016-02-25 07:33:22
Bernskoetter,,Mike,,Republican,lower,59,Mike.Bernskoetter@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=52,http://www.house.mo.gov/MemberPhoto.aspx?id=472,MOL000042,2016-02-25 07:33:23
Franklin,,Diane,,Republican,lower,123,Diane.Franklin@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=137,http://www.house.mo.gov/MemberPhoto.aspx?id=455,MOL000078,2016-02-25 07:33:23
Shumake,,Lindell,,Republican,lower,5,Lindell.Shumake@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=16,http://www.house.mo.gov/MemberPhoto.aspx?id=490,MOL000167,2016-02-25 07:33:23
Kratky,,Michele,,Democratic,lower,82,Michele.Kratky@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=42,http://www.house.mo.gov/MemberPhoto.aspx?id=350,MOL000112,2016-02-25 07:33:22
Fitzwater,,Paul,,Republican,lower,144,Paul.Fitzwater@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=158,http://www.house.mo.gov/MemberPhoto.aspx?id=512,MOL000075,2016-02-25 07:33:22
Nichols,,Mary,,Democratic,lower,72,Mary.Nichols@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=87,http://www.house.mo.gov/MemberPhoto.aspx?id=467,MOL000141,2016-02-25 07:33:21
Black,,Linda,,Republican,lower,117,Linda.Black@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=38,http://www.house.mo.gov/MemberPhoto.aspx?id=368,MOL000044,2016-02-25 07:33:20
Brown,,Wanda,,Republican,lower,57,Wanda.Brown@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=94,http://www.house.mo.gov/MemberPhoto.aspx?id=505,MOL000049,2016-02-25 07:33:21
Dugger,,Tony,,Republican,lower,141,,http://www.house.mo.gov/member.aspx?year=2016&district=51,http://www.house.mo.gov/MemberPhoto.aspx?id=366,MOL000069,2016-02-25 07:33:20
Richardson,,Todd,,Republican,lower,152,Todd.Richardson@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=154,http://www.house.mo.gov/MemberPhoto.aspx?id=514,MOL000152,2016-02-25 07:33:14
Taylor,,Shelley,Keeney,Republican,lower,145,Shelley.Keeney@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=156,http://www.house.mo.gov/MemberPhoto.aspx?id=158,MOL000105,2016-02-25 07:33:22
May,,Karla,,Democratic,lower,84,Karla.May@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=110,http://www.house.mo.gov/MemberPhoto.aspx?id=484,MOL000125,2016-02-25 07:33:22
Bahr,,Kurt,,Republican,lower,102,Kurt.Bahr@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=136,http://www.house.mo.gov/MemberPhoto.aspx?id=471,MOL000040,2016-02-25 07:33:23
Brattin,,Rick,,Republican,lower,55,Rick.Brattin@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=56,http://www.house.mo.gov/MemberPhoto.aspx?id=474,MOL000046,2016-02-25 07:33:23
Harris,,Ben,,Democratic,lower,118,Ben.Harris@house.mo.gov,http://www.house.mo.gov/member.aspx?year=2016&district=40,http://www.house.mo.gov/MemberPhoto.aspx?id=444,MOL000089,2016-02-25 07:33:23
